Designator,Footprint,Comment,Mid X,Mid Y, Rotation, Layer
J3,"SIP2N","SIP2",86.03,45.60,0,bottom
C3,"RCY150P","330uF/10V",86.10,40.30,270,bottom
C5,"RCY200P","10uF/450v",71.04,32.88,90,bottom
F1,"ACY200P","0.08A/250V",69.13,17.39,180,bottom
L1,"EIA7343","560uH",80.30,33.28,270,bottom
CONN2,"SIP1_8.5","SIP1",27.80,31.70,0,bottom
D2,"DO-214AC","SMAJ440CA",42.70,13.40,0,bottom
U5,"S208T02","S208T02",22.17,22.22,90,bottom
D4,"SMA","RS1M",82.48,36.60,0,top
R13,"smt0603.ele","3.3k",37.04,85.90,180,top
U3,"SOT89","HT7233",43.88,83.50,0,top
R14,"smt0603.ele","10k",21.04,68.50,180,top
D3,"SMA","RS1M",72.00,25.02,90,top
C7,"EIA_B","100uF/6.3V",30.02,61.60,0,bottom
L2,"EIA7343","560uH",85.70,52.72,270,bottom
SPK1,"speak","speak",83.70,81.51,90,bottom
D6,"DO-214AC","M7",72.50,80.90,180,top
S1,"3x6sw","3x6x2.5sw",18.62,75.49,270,top
R16,"smt0603.ele","2k",15.20,29.44,270,top
U2,"esp12fa","ESP-12F",22.08,71.86,0,bottom
J2,"SIP2N","unknown",11.20,79.07,90,bottom
J1,"SIP2N","unknown",11.16,74.03,270,bottom
S2,"3x6sw","3x6x2.5sw",50.17,17.33,180,top
R2,"smt0603.ele","4.7k",83.16,32.30,180,top
R3,"smt0603.ele","4.7k",83.56,34.00,0,top
C1,"smt0805.ele","100nF",78.22,25.10,0,top
D1,"SMA","ES1J",86.60,33.12,270,bottom
U1,"SO8","SM7035P",79.25,28.56,0,top
C2,"smt0805.ele","4.7uF",85.90,31.88,90,top
C4,"smt0805.ele","100nF",83.32,39.70,0,top
J6,"SIP1_8.5","SIP1",78.70,61.80,0,bottom
J4,"SIP1_8.5","SIP1",36.30,17.20,0,bottom
R9,"smt0805.ele","1k",81.20,72.38,90,top
J5,"SIP1_8.5","SIP1",68.70,61.90,0,top
R10,"MR2.0X10","1.81mR",73.80,65.60,0,top
C6,"smt0603.ele","100nF",69.02,72.77,270,top
U4,"SO8","HLW8032",73.25,72.50,90,top
C9,"smt0603.ele","33nF",76.66,73.66,270,top
C8,"smt0603.ele","33nF",76.36,67.80,0,top
R11,"smt0603.ele","1k",72.47,67.40,90,top
R12,"smt0603.ele","1k",74.10,67.44,90,top
R19,"0805","10",67.40,69.90,180,top
C13,"smt0805.ele","100nF",78.70,75.88,270,top
Q1,"SOT-23","AO3400A",78.91,84.50,0,top
R18,"0805","10",86.80,77.90,90,top
R4,"smt0805.ele","470k",67.80,25.02,270,top
R7,"smt0805.ele","470k",67.80,37.58,270,top
R6,"smt0805.ele","470k",67.80,33.38,90,top
R5,"smt0805.ele","470k",67.80,29.22,270,top
C10,"smt0603.ele","33nF",78.88,71.99,90,top
R8,"smt0603.ele","10k",33.06,72.90,0,top
C11,"smt0805.ele","100nF",22.72,64.70,0,top
C14,"smt0805.ele","100nF",57.10,12.28,270,top
LED1,"5050","WS2813",50.10,10.60,0,top
D7,"DO-214AA","P6SMB6.8CA",62.13,12.76,270,top
R15,"smt0603.ele","2k",17.34,52.18,270,top
D5,"DO-214AA","P6SMB6.8CA",86.40,72.42,90,top
C12,"smt0805.ele","100nF",86.80,81.88,270,top
U6,"S208T02","S208T02",22.17,26.62,90,bottom
R17,"smt0603.ele","2k",13.90,29.44,270,top
D8,"DO-214AC","M7",37.30,83.60,0,top
